title,genre,izlenme_sayisi
Toy Story 2 (1999),Children,22770
Jumanji (1995),Children,22243
Who Framed Roger Rabbit? (1988),Children,21739
"Nightmare Before Christmas, The (1993)",Children,20509
"Bug's Life, A (1998)",Children,20465
"Incredibles, The (2004)",Children,19890
Addams Family Values (1993),Children,18618
Snow White and the Seven Dwarfs (1937),Children,17766
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Children,17239
"Honey, I Shrunk the Kids (1989)",Children,16510
Chicken Run (2000),Children,16472
Wallace & Gromit: The Wrong Trousers (1993),Children,15022
Shrek 2 (2004),Children,14564
"Little Mermaid, The (1989)",Children,14294
Mary Poppins (1964),Children,14096
Pocahontas (1995),Children,13046
"Christmas Story, A (1983)",Children,12934
Pinocchio (1940),Children,12782
Casper (1995),Children,12625
Field of Dreams (1989),Children,12267
WALL·E (2008),Children,12176
Fantasia (1940),Children,12139
Wallace & Gromit: A Close Shave (1995),Children,12073
Ice Age (2002),Children,11713
"Goonies, The (1985)",Children,10401
"Hunchback of Notre Dame, The (1996)",Children,10389
James and the Giant Peach (1996),Children,10228
"NeverEnding Story, The (1984)",Children,10169
Antz (1998),Children,10163
Lady and the Tramp (1955),Children,10062
"Flintstones, The (1994)",Children,9939
Space Jam (1996),Children,9917
Up (2009),Children,9264
Cinderella (1950),Children,8954
Dumbo (1941),Children,8951
Ratatouille (2007),Children,8727
"Jungle Book, The (1967)",Children,8694
101 Dalmatians (1996),Children,8581
Pulp Fiction (1994),Comedy,67310
Forrest Gump (1994),Comedy,66172
Toy Story (1995),Comedy,49695
American Beauty (1999),Comedy,44987
Fargo (1996),Comedy,43272
True Lies (1994),Comedy,43159
Aladdin (1992),Comedy,41842
Back to the Future (1985),Comedy,41426
Ace Ventura: Pet Detective (1994),Comedy,38226
Men in Black (a.k.a. MIB) (1997),Comedy,35580
Mrs. Doubtfire (1993),Comedy,34392
"Mask, The (1994)",Comedy,34384
Pretty Woman (1990),Comedy,33900
Monty Python and the Holy Grail (1975),Comedy,33024
Batman Forever (1995),Comedy,32867
"Princess Bride, The (1987)",Comedy,32586
Dumb & Dumber (Dumb and Dumber) (1994),Comedy,32085
Groundhog Day (1993),Comedy,32026
Shrek (2001),Comedy,31972
Ghost (1990),Comedy,29488
Ghostbusters (a.k.a. Ghost Busters) (1984),Comedy,29381
Sleepless in Seattle (1993),Comedy,28805
Home Alone (1990),Comedy,28348
Willy Wonka & the Chocolate Factory (1971),Comedy,28335
Four Weddings and a Funeral (1994),Comedy,27699
"Fifth Element, The (1997)",Comedy,27660
Being John Malkovich (1999),Comedy,27160
Clueless (1995),Comedy,26254
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Comedy,25257
Austin Powers: The Spy Who Shagged Me (1999),Comedy,24651
There's Something About Mary (1998),Comedy,24582
Shakespeare in Love (1998),Comedy,24521
"Truman Show, The (1998)",Comedy,24372
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy,24349
Get Shorty (1995),Comedy,24116
Clerks (1994),Comedy,23695
"Monsters, Inc. (2001)",Comedy,23657
Trainspotting (1996),Comedy,23589
Finding Nemo (2003),Comedy,23569
Ferris Bueller's Day Off (1986),Comedy,23317
American Pie (1999),Comedy,23301
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,23220
While You Were Sleeping (1995),Comedy,23214
Toy Story 2 (1999),Comedy,22770
Austin Powers: International Man of Mystery (1997),Comedy,22074
"Birdcage, The (1996)",Comedy,22020
When Harry Met Sally... (1989),Comedy,21888
Who Framed Roger Rabbit? (1988),Comedy,21739
As Good as It Gets (1997),Comedy,21684
"Breakfast Club, The (1985)",Comedy,21158
Toy Story (1995),Fantasy,49695
"Lord of the Rings: The Fellowship of the Ring, The (2001)",Fantasy,37553
Beauty and the Beast (1991),Fantasy,35138
"Mask, The (1994)",Fantasy,34384
"Lord of the Rings: The Two Towers, The (2002)",Fantasy,33947
Monty Python and the Holy Grail (1975),Fantasy,33024
"Princess Bride, The (1987)",Fantasy,32586
Groundhog Day (1993),Fantasy,32026
Shrek (2001),Fantasy,31972
"Lord of the Rings: The Return of the King, The (2003)",Fantasy,31577
Ghost (1990),Fantasy,29488
Willy Wonka & the Chocolate Factory (1971),Fantasy,28335
Being John Malkovich (1999),Fantasy,27160
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,25257
"Monsters, Inc. (2001)",Fantasy,23657
"Wizard of Oz, The (1939)",Fantasy,23445
Toy Story 2 (1999),Fantasy,22770
Jumanji (1995),Fantasy,22243
Who Framed Roger Rabbit? (1988),Fantasy,21739
Edward Scissorhands (1990),Fantasy,21394
Indiana Jones and the Temple of Doom (1984),Fantasy,21266
"Nightmare Before Christmas, The (1993)",Fantasy,20509
Beetlejuice (1988),Fantasy,19988
Big (1988),Fantasy,19506
"Nutty Professor, The (1996)",Fantasy,18799
Addams Family Values (1993),Fantasy,18618
Snow White and the Seven Dwarfs (1937),Fantasy,17766
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Fantasy,17239
"Mummy, The (1999)",Fantasy,16761
"Crow, The (1994)",Fantasy,16524
"Honey, I Shrunk the Kids (1989)",Fantasy,16510
"Santa Clause, The (1994)",Fantasy,16183
Dogma (1999),Fantasy,15753
Young Frankenstein (1974),Fantasy,15087
Harry Potter and the Chamber of Secrets (2002),Fantasy,14469
Dragonheart (1996),Fantasy,14192
Mary Poppins (1964),Fantasy,14096
It's a Wonderful Life (1946),Fantasy,14084
Brazil (1985),Fantasy,13957
Pleasantville (1998),Fantasy,13627
Last Action Hero (1993),Fantasy,13577
Spirited Away (Sen to Chihiro no kamikakushi) (2001),Fantasy,13466
Sleepy Hollow (1999),Fantasy,13162
Harry Potter and the Prisoner of Azkaban (2004),Fantasy,13157
Pinocchio (1940),Fantasy,12782
Big Fish (2003),Fantasy,12719
Army of Darkness (1993),Fantasy,12469
Field of Dreams (1989),Fantasy,12267
Fantasia (1940),Fantasy,12139
Like Water for Chocolate (Como agua para chocolate) (1992),Fantasy,11975
Forrest Gump (1994),Romance,66172
True Lies (1994),Romance,43159
Speed (1994),Romance,41562
Beauty and the Beast (1991),Romance,35138
Pretty Woman (1990),Romance,33900
"Princess Bride, The (1987)",Romance,32586
Twister (1996),Romance,32446
Titanic (1997),Romance,32238
Groundhog Day (1993),Romance,32026
Shrek (2001),Romance,31972
Ghost (1990),Romance,29488
Sleepless in Seattle (1993),Romance,28805
Good Will Hunting (1997),Romance,28324
Four Weddings and a Funeral (1994),Romance,27699
Clueless (1995),Romance,26254
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Romance,25090
There's Something About Mary (1998),Romance,24582
Shakespeare in Love (1998),Romance,24521
Casablanca (1942),Romance,24349
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Romance,24349
American Pie (1999),Romance,23301
While You Were Sleeping (1995),Romance,23214
Eternal Sunshine of the Spotless Mind (2004),Romance,22352
Jerry Maguire (1996),Romance,22319
"Beautiful Mind, A (2001)",Romance,21931
When Harry Met Sally... (1989),Romance,21888
As Good as It Gets (1997),Romance,21684
Leaving Las Vegas (1995),Romance,21553
Edward Scissorhands (1990),Romance,21394
Armageddon (1998),Romance,21103
Sense and Sensibility (1995),Romance,20667
Top Gun (1986),Romance,20338
Big (1988),Romance,19506
Dave (1993),Romance,19297
"Nutty Professor, The (1996)",Romance,18799
"American President, The (1995)",Romance,18162
Life Is Beautiful (La Vita è bella) (1997),Romance,18156
"Piano, The (1993)",Romance,17068
"Graduate, The (1967)",Romance,17039
Legends of the Fall (1994),Romance,16171
High Fidelity (2000),Romance,15887
Lost in Translation (2003),Romance,15739
Grease (1978),Romance,15630
North by Northwest (1959),Romance,15627
Annie Hall (1977),Romance,15383
"English Patient, The (1996)",Romance,15330
"Truth About Cats & Dogs, The (1996)",Romance,15263
Shrek 2 (2004),Romance,14564
Grosse Pointe Blank (1997),Romance,14487
Gone with the Wind (1939),Romance,14396
Pulp Fiction (1994),Drama,67310
Forrest Gump (1994),Drama,66172
"Shawshank Redemption, The (1994)",Drama,63366
Braveheart (1995),Drama,53769
Schindler's List (1993),Drama,50054
Apollo 13 (1995),Drama,47777
American Beauty (1999),Drama,44987
Dances with Wolves (1990),Drama,44208
Fargo (1996),Drama,43272
"Godfather, The (1972)",Drama,41355
Fight Club (1999),Drama,40106
"Sixth Sense, The (1999)",Drama,39028
"Lion King, The (1994)",Drama,38991
Saving Private Ryan (1998),Drama,37110
Mrs. Doubtfire (1993),Drama,34392
Gladiator (2000),Drama,32878
E.T. the Extra-Terrestrial (1982),Drama,32685
Babe (1995),Drama,32255
Titanic (1997),Drama,32238
"Lord of the Rings: The Return of the King, The (2003)",Drama,31577
One Flew Over the Cuckoo's Nest (1975),Drama,29932
Clear and Present Danger (1994),Drama,29571
Ghost (1990),Drama,29488
Sleepless in Seattle (1993),Drama,28805
Good Will Hunting (1997),Drama,28324
Interview with the Vampire: The Vampire Chronicles (1994),Drama,27568
"Godfather: Part II, The (1974)",Drama,27398
Being John Malkovich (1999),Drama,27160
Goodfellas (1990),Drama,26406
Star Trek: Generations (1994),Drama,26404
Outbreak (1995),Drama,26246
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Drama,25804
"Firm, The (1993)",Drama,25689
2001: A Space Odyssey (1968),Drama,25253
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Drama,25090
"Clockwork Orange, A (1971)",Drama,24694
Rain Man (1988),Drama,24591
Shakespeare in Love (1998),Drama,24521
Taxi Driver (1976),Drama,24481
"Truman Show, The (1998)",Drama,24372
Casablanca (1942),Drama,24349
Crimson Tide (1995),Drama,23628
Trainspotting (1996),Drama,23589
American History X (1998),Drama,23309
Apocalypse Now (1979),Drama,23090
Eternal Sunshine of the Spotless Mind (2004),Drama,22352
Jerry Maguire (1996),Drama,22319
"Beautiful Mind, A (2001)",Drama,21931
Full Metal Jacket (1987),Drama,21926
As Good as It Gets (1997),Drama,21684
Jurassic Park (1993),Action,59715
Star Wars: Episode IV - A New Hope (1977),Action,54502
Braveheart (1995),Action,53769
Terminator 2: Judgment Day (1991),Action,52244
"Matrix, The (1999)",Action,51334
Independence Day (a.k.a. ID4) (1996),Action,47048
Star Wars: Episode VI - Return of the Jedi (1983),Action,46839
Batman (1989),Action,46054
Star Wars: Episode V - The Empire Strikes Back (1980),Action,45313
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action,43295
True Lies (1994),Action,43159
Speed (1994),Action,41562
Fight Club (1999),Action,40106
Mission: Impossible (1996),Action,37127
Saving Private Ryan (1998),Action,37110
Men in Black (a.k.a. MIB) (1997),Action,35580
"Mask, The (1994)",Action,34384
Die Hard: With a Vengeance (1995),Action,33940
"Terminator, The (1984)",Action,33429
Gladiator (2000),Action,32878
Batman Forever (1995),Action,32867
"Princess Bride, The (1987)",Action,32586
Twister (1996),Action,32446
Stargate (1994),Action,31799
"Lord of the Rings: The Return of the King, The (2003)",Action,31577
"Rock, The (1996)",Action,31353
Indiana Jones and the Last Crusade (1989),Action,31280
Blade Runner (1982),Action,30526
Die Hard (1988),Action,30399
Star Wars: Episode I - The Phantom Menace (1999),Action,29574
Clear and Present Danger (1994),Action,29571
Ghostbusters (a.k.a. Ghost Busters) (1984),Action,29381
GoldenEye (1995),Action,29005
Waterworld (1995),Action,27775
"Fifth Element, The (1997)",Action,27660
Aliens (1986),Action,27206
X-Men (2000),Action,26846
Outbreak (1995),Action,26246
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action,25804
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,25257
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action,25090
Cliffhanger (1993),Action,24940
Austin Powers: The Spy Who Shagged Me (1999),Action,24651
"Net, The (1995)",Action,24618
Heat (1995),Action,23899
Minority Report (2002),Action,23642
Natural Born Killers (1994),Action,23610
Spider-Man (2002),Action,23404
Apocalypse Now (1979),Action,23090
Jaws (1975),Action,22168
Pulp Fiction (1994),Crime,67310
"Shawshank Redemption, The (1994)",Crime,63366
"Silence of the Lambs, The (1991)",Crime,63299
"Usual Suspects, The (1995)",Crime,47006
Batman (1989),Crime,46054
Fargo (1996),Crime,43272
"Godfather, The (1972)",Crime,41355
Fight Club (1999),Crime,40106
"Mask, The (1994)",Crime,34384
Die Hard: With a Vengeance (1995),Crime,33940
Batman Forever (1995),Crime,32867
Die Hard (1988),Crime,30399
Clear and Present Danger (1994),Crime,29571
Reservoir Dogs (1992),Crime,27635
"Godfather: Part II, The (1974)",Crime,27398
L.A. Confidential (1997),Crime,26836
Goodfellas (1990),Crime,26406
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Crime,25804
"Clockwork Orange, A (1971)",Crime,24694
"Net, The (1995)",Crime,24618
Taxi Driver (1976),Crime,24481
Get Shorty (1995),Crime,24116
Heat (1995),Crime,23899
Ocean's Eleven (2001),Crime,23769
Minority Report (2002),Crime,23642
Natural Born Killers (1994),Crime,23610
Trainspotting (1996),Crime,23589
American History X (1998),Crime,23309
Kill Bill: Vol. 1 (2003),Crime,21746
Who Framed Roger Rabbit? (1988),Crime,21739
"Green Mile, The (1999)",Crime,21080
Dead Man Walking (1995),Crime,20809
"Big Lebowski, The (1998)",Crime,20725
"Dark Knight, The (2008)",Crime,20438
Office Space (1999),Crime,20328
"Fish Called Wanda, A (1988)",Crime,19674
Psycho (1960),Crime,19649
"O Brother, Where Art Thou? (2000)",Crime,19459
Batman Begins (2005),Crime,18686
Face/Off (1997),Crime,18460
Catch Me If You Can (2002),Crime,18002
Lethal Weapon (1987),Crime,17620
Snatch (2000),Crime,17617
Casino (1995),Crime,17394
Run Lola Run (Lola rennt) (1998),Crime,17029
"Crow, The (1994)",Crime,16524
Traffic (2000),Crime,16379
Sin City (2005),Crime,15481
"Untouchables, The (1987)",Crime,15442
True Romance (1993),Crime,15360
Pulp Fiction (1994),Thriller,67310
"Silence of the Lambs, The (1991)",Thriller,63299
Jurassic Park (1993),Thriller,59715
"Matrix, The (1999)",Thriller,51334
"Fugitive, The (1993)",Thriller,49581
Independence Day (a.k.a. ID4) (1996),Thriller,47048
"Usual Suspects, The (1995)",Thriller,47006
Batman (1989),Thriller,46054
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller,44980
Fargo (1996),Thriller,43272
Seven (a.k.a. Se7en) (1995),Thriller,43249
True Lies (1994),Thriller,43159
Speed (1994),Thriller,41562
Fight Club (1999),Thriller,40106
Mission: Impossible (1996),Thriller,37127
Die Hard: With a Vengeance (1995),Thriller,33940
"Terminator, The (1984)",Thriller,33429
Twister (1996),Thriller,32446
"Rock, The (1996)",Thriller,31353
Blade Runner (1982),Thriller,30526
Memento (2000),Thriller,30443
Die Hard (1988),Thriller,30399
Clear and Present Danger (1994),Thriller,29571
Ghost (1990),Thriller,29488
GoldenEye (1995),Thriller,29005
Reservoir Dogs (1992),Thriller,27635
L.A. Confidential (1997),Thriller,26836
Outbreak (1995),Thriller,26246
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Thriller,25804
"Firm, The (1993)",Thriller,25689
Cliffhanger (1993),Thriller,24940
"Clockwork Orange, A (1971)",Thriller,24694
"Net, The (1995)",Thriller,24618
Taxi Driver (1976),Thriller,24481
Get Shorty (1995),Thriller,24116
Heat (1995),Thriller,23899
Ocean's Eleven (2001),Thriller,23769
Minority Report (2002),Thriller,23642
Crimson Tide (1995),Thriller,23628
Natural Born Killers (1994),Thriller,23610
Spider-Man (2002),Thriller,23404
Broken Arrow (1996),Thriller,22104
Kill Bill: Vol. 1 (2003),Thriller,21746
"Hunt for Red October, The (1990)",Thriller,21349
Armageddon (1998),Thriller,21103
Total Recall (1990),Thriller,20791
"Bourne Identity, The (2002)",Thriller,20091
Star Trek: First Contact (1996),Thriller,19324
"Blair Witch Project, The (1999)",Thriller,19111
In the Line of Fire (1993),Thriller,18836
"Silence of the Lambs, The (1991)",Horror,63299
"Sixth Sense, The (1999)",Horror,39028
Alien (1979),Horror,30933
Interview with the Vampire: The Vampire Chronicles (1994),Horror,27568
Aliens (1986),Horror,27206
"Shining, The (1980)",Horror,23410
Jaws (1975),Horror,22168
Psycho (1960),Horror,19649
"Blair Witch Project, The (1999)",Horror,19111
"Mummy, The (1999)",Horror,16761
Scream (1996),Horror,16067
Arachnophobia (1990),Horror,13866
Species (1995),Horror,13628
"Rocky Horror Picture Show, The (1975)",Horror,13482
Alien³ (a.k.a. Alien 3) (1992),Horror,13401
"Exorcist, The (1973)",Horror,13359
Sleepy Hollow (1999),Horror,13162
From Dusk Till Dawn (1996),Horror,12712
Army of Darkness (1993),Horror,12469
28 Days Later (2002),Horror,12170
Shaun of the Dead (2004),Horror,11651
Blade (1998),Horror,11401
Gremlins (1984),Horror,11200
"Birds, The (1963)",Horror,11160
Alien: Resurrection (1997),Horror,10932
Signs (2002),Horror,10532
"Fly, The (1986)",Horror,10174
"Others, The (2001)",Horror,10055
Dracula (Bram Stoker's Dracula) (1992),Horror,10022
Copycat (1995),Horror,9928
"Ring, The (2002)",Horror,9518
Misery (1990),Horror,9136
Poltergeist (1982),Horror,9026
Scary Movie (2000),Horror,8706
American Psycho (2000),Horror,8593
Carrie (1976),Horror,8569
"Thing, The (1982)",Horror,8557
"Craft, The (1996)",Horror,8538
Little Shop of Horrors (1986),Horror,8347
Night of the Living Dead (1968),Horror,8029
"Cell, The (2000)",Horror,8023
Heavy Metal (1981),Horror,7845
Evil Dead II (Dead by Dawn) (1987),Horror,7788
Rosemary's Baby (1968),Horror,7665
"American Werewolf in London, An (1981)",Horror,7476
"Nightmare on Elm Street, A (1984)",Horror,7450
Mary Shelley's Frankenstein (Frankenstein) (1994),Horror,7424
I Know What You Did Last Summer (1997),Horror,7418
Deep Blue Sea (1999),Horror,7248
Hollow Man (2000),Horror,7228
"Usual Suspects, The (1995)",Mystery,47006
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery,44980
Seven (a.k.a. Se7en) (1995),Mystery,43249
"Sixth Sense, The (1999)",Mystery,39028
Mission: Impossible (1996),Mystery,37127
Memento (2000),Mystery,30443
Reservoir Dogs (1992),Mystery,27635
L.A. Confidential (1997),Mystery,26836
Minority Report (2002),Mystery,23642
Who Framed Roger Rabbit? (1988),Mystery,21739
"Bourne Identity, The (2002)",Mystery,20091
Donnie Darko (2001),Mystery,18731
Citizen Kane (1941),Mystery,17774
Rear Window (1954),Mystery,17449
Scream (1996),Mystery,16067
"Client, The (1994)",Mystery,15833
North by Northwest (1959),Mystery,15627
Sin City (2005),Mystery,15481
"Game, The (1997)",Mystery,15373
Chinatown (1974),Mystery,15310
Congo (1995),Mystery,14965
Eyes Wide Shut (1999),Mystery,14615
Vertigo (1958),Mystery,14094
Inception (2010),Mystery,14023
"Talented Mr. Ripley, The (1999)",Mystery,13563
"Exorcist, The (1973)",Mystery,13359
Sleepy Hollow (1999),Mystery,13162
"Maltese Falcon, The (1941)",Mystery,12144
"Thomas Crown Affair, The (1999)",Mystery,11879
"X-Files: Fight the Future, The (1998)",Mystery,11469
"Devil's Advocate, The (1997)",Mystery,11458
"Prestige, The (2006)",Mystery,11269
Primal Fear (1996),Mystery,11169
Basic Instinct (1992),Mystery,10998
Star Trek VI: The Undiscovered Country (1991),Mystery,10862
Conspiracy Theory (1997),Mystery,10362
"Godfather: Part III, The (1990)",Mystery,10141
"Others, The (2001)",Mystery,10055
Copycat (1995),Mystery,9928
"Ring, The (2002)",Mystery,9518
Mulholland Drive (2001),Mystery,9307
Strange Days (1995),Mystery,9143
Blue Velvet (1986),Mystery,8875
"Negotiator, The (1998)",Mystery,8680
American Psycho (2000),Mystery,8593
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Mystery,8520
Mystic River (2003),Mystery,8467
Vanilla Sky (2001),Mystery,8318
District 9 (2009),Mystery,8038
Hot Fuzz (2007),Mystery,7659
Jurassic Park (1993),Sci-Fi,59715
Star Wars: Episode IV - A New Hope (1977),Sci-Fi,54502
Terminator 2: Judgment Day (1991),Sci-Fi,52244
"Matrix, The (1999)",Sci-Fi,51334
Independence Day (a.k.a. ID4) (1996),Sci-Fi,47048
Star Wars: Episode VI - Return of the Jedi (1983),Sci-Fi,46839
Star Wars: Episode V - The Empire Strikes Back (1980),Sci-Fi,45313
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi,44980
Back to the Future (1985),Sci-Fi,41426
Men in Black (a.k.a. MIB) (1997),Sci-Fi,35580
"Terminator, The (1984)",Sci-Fi,33429
E.T. the Extra-Terrestrial (1982),Sci-Fi,32685
Stargate (1994),Sci-Fi,31799
Alien (1979),Sci-Fi,30933
Blade Runner (1982),Sci-Fi,30526
Star Wars: Episode I - The Phantom Menace (1999),Sci-Fi,29574
Ghostbusters (a.k.a. Ghost Busters) (1984),Sci-Fi,29381
Waterworld (1995),Sci-Fi,27775
"Fifth Element, The (1997)",Sci-Fi,27660
Aliens (1986),Sci-Fi,27206
X-Men (2000),Sci-Fi,26846
Star Trek: Generations (1994),Sci-Fi,26404
Outbreak (1995),Sci-Fi,26246
2001: A Space Odyssey (1968),Sci-Fi,25253
"Clockwork Orange, A (1971)",Sci-Fi,24694
"Truman Show, The (1998)",Sci-Fi,24372
Minority Report (2002),Sci-Fi,23642
Spider-Man (2002),Sci-Fi,23404
Eternal Sunshine of the Spotless Mind (2004),Sci-Fi,22352
Armageddon (1998),Sci-Fi,21103
Total Recall (1990),Sci-Fi,20791
Contact (1997),Sci-Fi,19874
Back to the Future Part III (1990),Sci-Fi,19724
Back to the Future Part II (1989),Sci-Fi,19446
Star Trek: First Contact (1996),Sci-Fi,19324
"Nutty Professor, The (1996)",Sci-Fi,18799
Donnie Darko (2001),Sci-Fi,18731
Gattaca (1997),Sci-Fi,18573
Demolition Man (1993),Sci-Fi,18307
"Abyss, The (1989)",Sci-Fi,17508
Mars Attacks! (1996),Sci-Fi,17230
"Matrix Reloaded, The (2003)",Sci-Fi,17003
"Honey, I Shrunk the Kids (1989)",Sci-Fi,16510
Star Wars: Episode II - Attack of the Clones (2002),Sci-Fi,16425
Star Trek II: The Wrath of Khan (1982),Sci-Fi,15893
Spider-Man 2 (2004),Sci-Fi,15712
X2: X-Men United (2003),Sci-Fi,15573
Starship Troopers (1997),Sci-Fi,15341
Superman (1978),Sci-Fi,15089
Judge Dredd (1995),Sci-Fi,14993
Apollo 13 (1995),IMAX,47777
"Lion King, The (1994)",IMAX,38991
Beauty and the Beast (1991),IMAX,35138
"Dark Knight, The (2008)",IMAX,20438
Batman Begins (2005),IMAX,18686
"Matrix Reloaded, The (2003)",IMAX,17003
Star Wars: Episode II - Attack of the Clones (2002),IMAX,16425
Spider-Man 2 (2004),IMAX,15712
V for Vendetta (2006),IMAX,14356
Inception (2010),IMAX,14023
